metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
activationRate_center_conductor_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_center_conductor_orc_mob,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_orc_violence,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_clean_sheet_legacy_dwarf_fortress,54.0625,1.0000,,57.7083,50.4167,57.7083,57.0833,51.0417,53.1250,51.4583,53.9583
activationRate_cold_focus_human_scattered,0.3125,1.0000,,0.6250,0.8333,0.0000,0.6250,0.0000,0.0000,0.0000,0.4167
activationRate_cold_focus_undead_grind,61.2760,1.0000,,72.5000,50.6250,60.0000,66.4583,58.3333,67.0833,65.2083,50.0000
activationRate_comeback_spirit_human_random,43.6458,1.0000,,43.7500,44.1667,41.0417,42.7083,43.1250,46.0417,43.9583,44.3750
activationRate_comeback_spirit_human_scattered,48.5156,1.0000,,47.9167,46.8750,47.9167,49.3750,44.7917,48.3333,51.0417,51.8750
activationRate_covering_shadow_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_covering_shadow_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_crowd_control_elf_tiki_taka,1.7969,1.0000,,1.0417,2.9167,2.9167,2.0833,1.0417,1.6667,0.8333,1.8750
activationRate_deathless_march_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_diagonal_press_orc_giants,79.6354,1.0000,,79.3750,78.5417,80.2083,77.5000,75.2083,80.0000,77.9167,88.3333
activationRate_duelist_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_fine_touch_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_fine_touch_orc_misplaced,37.8125,1.0000,,25.0000,37.5000,37.5000,40.0000,50.0000,40.0000,35.0000,37.5000
activationRate_first_touch_school_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_flank_specialist_elf_out_of_zone,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
